"Авдеевка
(укр. Авдіївка)";"";"Донецкая область";"37 210";1778
"Александрия
(укр. Олександрія)";"Усовка
Бечея
Александрийск";"Кировоградская область";"93 357";1746
"Александровск
(укр. Олександрівськ)";"Александровка (до 1959)";"Луганская область";"7 045";1772
"Алёшки
(укр. Олешки)";"Цюрупинск (с 1928 до 2016)";"Херсонская область";"24 123";1084
"Алмазная
(укр. Алмазна)";"Изюм (до 1895)";"Луганская область";"5 061";1870
"Алупка[29]
(укр. Алупка)";"Алубика
Лупико";"Автономная Республика Крым";"9 018";"X век"
"Алушта[29]
(укр. Алушта)";"Луста
Алустон";"Автономная Республика Крым";"31 440";"V век"
"Алчевск
(укр. Алчевськ)";"Юрьевка (до 1903)
Алчевское (до 1932)
Ворошиловск (до 1961)
Коммунар (до 1991)";"Луганская область";"119 193";1895
"Амвросиевка
(укр. Амвросіївка)";"Донецко-Амвросиевка";"Донецкая область";"22 130";1869
"Ананьев
(укр. Ананьїв)";"";"Одесская область";"9 476";1753
"Андрушёвка
(укр. Андрушівка)";"Андрусовка (до 1859)
Андрушовка (до 1975)";"Житомирская область";"9 890";1683
"Антрацит
(укр. Антрацит)";"Боково-Антрацит (до 1962)";"Луганская область";"63 698";1895
"Апостолово
(укр. Апостолове)";"Покровское (до 1933)
Апостолово (до 1936)
Кисиорово (1938)";"Днепропетровская область";"16 439";1793
"Армянск[29]
(укр. Армянськ)";"Армянский Базар (до 1921)";"Автономная Республика Крым";"23 869";1736
"Арциз
(укр. Арциз)";"";"Одесская область";"16 370";1816
"Ахтырка
(укр. Охтирка)";"";"Сумская область";"50 399";1641
"Балаклея
(укр. Балаклія)";"";"Харьковская область";"32 408";1663
"Балта
(укр. Балта)";"";"Одесская область";"19 962";1797
"Бар
(укр. Бар)";"Юзефград (до 1795)
Еленск (до 1979)";"Винницкая область";"17 284";1401
"Барановка
(укр. Баранівка)";"";"Житомирская область";"12 584";1565
"Барвенково
(укр. Барвінкове)";"";"Харьковская область";"12 998";1653
"Батурин
(укр. Батурин)";"";"Черниговская область";"3 066";1625
"Бахмач
(укр. Бахмач)";"";"Черниговская область";"20 332";1781
"Бахмут
(укр. Бахмут)";"Артёмовск (с 1924 до 2016)";"Донецкая область";"82 916";1571
"Бахчисарай[29]
(укр. Бахчисарай)";"";"Автономная Республика Крым";"27 549";1532
"Баштанка
(укр. Баштанка)";"Полтавка (до 1928)";"Николаевская область";"13 146";1806
"Белая Церковь
(укр. Біла Церква)";"Юрьев (до 1369)";"Киевская область";"200 131";1032
"Белгород-Днестровский
(укр. Білгород-Дністровський)";"Аккерман (до 1918, с 1940 до 1941)
Четатя-Албэ (с 1918 до 1940)";"Одесская область";"51 890";"498 до н. э."
